version,label,type,statement_short,lean_file,reference_vector_exercised,status
v11,theorem:(closure).,theorem,"(closure). — **Proof.** *(⇐)* If every M_{k,j} = 1, then ∏ M_{k,j} = 1 for every k, so A_k = L_k and Σ A_k = Σ L_k, hence ρ = 1.",,?,
v11,4.5 Underlying axiom-suite evidence,axiom,"4.5 Underlying axiom-suite evidence — The audit operator depends on the soundness of the Λ invariant (v1 through v9) it audits. At commit `6c5c28366`, the consolidated test surface reports:",Lutar/QEC/KitaevSurface.lean,N,
v12,3.1 Definition,definition,"3.1 Definition — Let `k ≥ 1` and let `x = (x₁, ..., x_k) ∈ [0,1]^k` be a vector of runtime-trust axes. The **Lutar invariant of order k** is",,?,
v12,3.3 Theorem 1 (Uniqueness),theorem,"3.3 Theorem 1 (Uniqueness) — > **Theorem 1.** Let `Λ, Λ' : [0,1]^k → [0,1]` both satisfy A1–A4. Then `Λ = Λ'`.",Lutar/Uniqueness.lean (axiom; Conjecture 1),N,
v12,4.2 Theorem 2 (Tamper-evidence),theorem,4.2 Theorem 2 (Tamper-evidence) — > **Theorem 2.** Forging an undetected modification of receipt `R_i` for `i < n` requires producing a SHA-256 second-preimage. The receipt-chain attack model reduces ,,?,
v13,theorem:(Leaf Collision Resistance).,theorem,"(Leaf Collision Resistance). — **Theorem 2 (Monotone Insertion).** *If a log is append-only (new layers are only appended, no layer is removed or modified), then for any two snapshots at tree sizes \(",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v13,theorem:(Monotone Insertion).,theorem,"(Monotone Insertion). — **Theorem 3 (Window Unforgeability).** *Under the binding property of the Merkle accumulator, no PPT adversary can produce a valid closure receipt for action sequence \( a_1, \",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v13,theorem:(Window Unforgeability).,theorem,(Window Unforgeability). — ---,,?,
v13,2.2 RefVectors.lean — Runtime Parity The,theorem,"2.2 RefVectors.lean — Runtime Parity Theorem — `RefVectors.lean` [INTERNAL: RefVectors.lean, SHA 0f8189cc21d5d436d9bd3726075212dfe857abee, github.com/szl-holdings/lutar-lean] is a Lean 4 module that o",,?,
v13,"theorem:(Closure Dominance, Conjecture",theorem,"(Closure Dominance, Conjecture). — **The Self-Grading Loop as Revelation Mechanism:** The `evaluate-all` endpoint provides the revelation mechanism: before `submit_result`, the agent POSTs its own out","Lutar/DPOFeasibility.lean (TH12, 3 sorry)",N,
v14,II.1,definition,For k ≥ 1 and x : Fin k → ℝ≥0:,,?,
v14,II.1,theorem,For k > 0:,,?,
v14,II.3,theorem,"For k ≥ 1 and x ≤ y pointwise, Λ_k(x) ≤ Λ_k(y).",,?,
v14,II.4,theorem,For k ≥ 1 and x : Fin k → ℝ≥0:,,?,
v14,II.4a,corollary,"If all axis scores ≤ 1, then Λ_k(x) ≤ 1. Proof: immediate from upper bound theorem. This closes SORRY_v16_OPEN[4] proactively.",,?,
v14,II.5,axiom,"Λ_k is Schur-concave on (ℝ≥0)^k: if y majorizes x (more uniform), then Λ_k(y) ≥ Λ_k(x).",Lutar/Lambda/SchurConcave.lean,N,
v14,III.3,theorem,For k ≥ 1 and c : ℝ≥0:,,?,
v14,III.4a,theorem,For k ≥ 1:,,?,
v14,III.4b,theorem,"If k × (1/ n) = 1 then n = k. Proof: exact_mod_cast. Lean file: Lutar/Egyptian.lean, main branch.",Lutar/Egyptian.lean,Y,
v14,III.4c,theorem,"The uniform weight vector (1/k, …, 1/k) on k axes sums to 1 — it is a probability vector. This connects A3 to the information-theoretic principle: the uniform distribution is the maximum-entropy prior",Lutar/Egyptian.lean (A3),Y,
v14,VII.2a,theorem,Any NCHV function f satisfying ExactlyOnePerContext has zero inconsistencies under the soundness measure.,,?,
v14,VII.2b,theorem,Every vector v ∈ Fin 18 appears in exactly 2 of the 9 Cabello contexts. Proved by decide over the explicit finite list.,,?,
v14,VII.2c,theorem,For any NCHV function f:,,?,
v14,VII.2d,theorem,No NCHV function exists for the Cabello 18/9 structure.,,?,
v14,VII.2e,theorem,"No agent response can have zero inconsistencies under the Cabello structure: ∀ f : NCHV, ¬ ExactlyOnePerContext f.",,?,
v14,IX.1,theorem,"For any output with all violation flags false, the P_moral predicate holds: ¬ violates output → P_moral output. Proved by simp [violates] + hFlags. Lean file: Lutar/DoctrineV3/ MoralGrounding.lean, ma",,?,
v14,IX.1b,theorem,P_moral iff all six HarmCategory flags are false. Case-split over 6 HarmCategory constructors. Zero sorry.,,?,
v14,IX.2,theorem,A receipt slot is either verified or markedUnverifiable — there is no third category. Proved by cases r on the two-constructor inductive type ReceiptSlot. Zero sorry. Lean file: Lutar/DoctrineV3/ Meas,,?,
v15,II.1,definition,For k ≥ 1 and x : Fin k → ℝ≥0:,,?,
v15,II.1,theorem,Λ k x = (Finset.univ.prod x) ^ (1/k) for k > 0. Operational counterpart: ouroboros/runtime/lambda-gate/src/gate.ts.,,?,
v15,IX.2,definition,A KhipuReceipt is a structure with: - decisions : List ℕ — the pendant cord values (one per agent decision in the chain) - checksum : ℕ — the summation-cord value (the root of the DAG) - Invariant: ch,Lutar/Khipu/SummationInvariant.lean (TH11),N,
v15,IX.3a,theorem,"pendantValue_def unfolds the pendant value formula. Lean file: Lutar/ Khipu/SummationInvariant.lean, main branch.",Lutar/Khipu/SummationInvariant.lean (TH11),N,
v15,IX.3b,theorem,The root value equals the sum of pendant values. Zero sorry.,,?,
v15,IX.3c,theorem,Empty khipu has root value 0. Zero sorry.,Lutar/Khipu/SummationInvariant.lean (TH11),N,
v15,IX.3d,theorem,A khipu with one pendant has root value equal to that pendant. Zero sorry.,Lutar/Khipu/SummationInvariant.lean (TH11),N,
v15,IX.3e,theorem,"If any pendant is modified by δ > 0, the checksum changes:",Lutar/Khipu/SummationInvariant.lean (TH11),N,
v15,IX.3f,theorem,Extends IX.3e to negative δ (ℤ arithmetic). Requires Int.add_left_cancel and List.sum over ℤ-valued lists. v16 obligation.,,?,
v15,X.3,theorem,"The Catoni (2007) PAC-Bayes bound (1/(1 − λ/2)) · (r + kl/(λn)) is monotone in KL. Proof: mul_le_mul_of_nonneg_left + add_le_add_left + div_le_div_right. Citation: Catoni (2007), IMS Monograph Series ",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v16,II.1,definition,For k ≥ 1 and x : Fin k → ℝ≥0:,,?,
v16,II.1,theorem,"Λ k x = (Finset.univ.prod x) ^ (1/k) for k > 0. Proof: simp [Λ, hk.ne']. Operational counterpart: ouroboros/runtime/lambda-gate/src/gate.ts.",,?,
v16,II.3,theorem,For k ≥ 1 and x ≤ y pointwise: Λ_k(x) ≤ Λ_k(y).,,?,
v16,II.4,theorem,For k ≥ 1:,,?,
v16,II.4a,corollary,"If all axes ≤ 1, then Λ_k(x) ≤ 1. Closes SORRY_v16_OPEN[4] proactively. Citation: Hardy, Littlewood, and Pólya (1934), §2.10. §II.5 Schur-Concavity (V16-T6 — Honest Axiom)",Lutar/Lambda/SchurConcave.lean,N,
v16,II.5,axiom,"Λ_k is Schur-concave on (ℝ≥0)^k: if y majorizes x, then Λ_k(y) ≥ Λ_k(x). Honest axiom; Mathlib4 majorization API incomplete as of v4.13.0. Proof route: Marshall-Olkin- Arnold 2011,",Lutar/Lambda/SchurConcave.lean,N,
v16,III.3a,theorem,∑_{i : Fin k} (1/k : ℝ) = 1. By Finset.sum_const + Finset.card_fin + field_simp.,,?,
v16,III.3b,theorem,"The uniform weight vector (1/k, …, 1/k) is a probability vector. Governance significance: the A3 weights are the maximum- entropy prior — no axis is assumed to dominate any other. Any deviation from 1",Lutar/Egyptian.lean (A3),Y,
v16,VI.1,theorem,No non-contextual hidden-variable function exists for the Cabello 18/9 structure.,,?,
v16,IX.1,theorem,The sum of the six Horus-Eye fractions equals 63/64:,,?,
v16,IX.2,theorem,"For integers a, b, c, d:",,?,
v16,IX.3,theorem,"The Babylonian iteration T(x) = (x + 2/x)/2 is a Banach contraction on the interval [1, 2]:",,?,
v16,IX.4,theorem,The Liu Hui sequence is monotone increasing and bounded above by π. Sorry deferred to Mathlib monotone convergence API naming uncertainty. Mathematical truth: TRUE (alternating-series / monotone-conve,Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v16,IX.5,theorem,Theorem Status madhavaRemainderBound_nonneg PROVED zero-sorry madhavaRemainderBound_at_zero PROVED zero-sorry madhavaRemainderBound_anti PROVED zero-sorry (linarith) SORRY-TAGGED (~16h; Mathlib madhav,,?,
v16,IX.6,theorem,The nine governance axis denominators divide 60⁸. This establishes that the nine-axis weight scheme is regular in the Babylonian sexagesimal number system — a bridge between the ancient base-60 tradit,,?,
v16,X.2,theorem,"The Catoni (2007) PAC-Bayes bound (1/(1 − λ/2)) · (r + kl/(λn)) is monotone in KL. Proof: mul_le_mul_of_nonneg_left + add_le_add_left + div_le_div_right. Citation: Catoni (2007), DOI:10.1214/074921707",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v16,XI.2,theorem,"For any δ : ℤ, δ =≠ 0: checksum(tamper(r, i, δ)) =≠ checksum(r). Proof route: extend pendant value to ℤ; checksumZ r’ = checksumZ r + δ; δ =≠ 0 → inequality. Requires List.sum_set or manual induction ",Lutar/Khipu/SummationInvariant.lean (TH11),N,
v16,XIII.2,theorem,HUKLLA ∧ OVERWATCH ∧ DPI → governanceAllow.,Lutar/DPI/TH6_DPI_Soundness.lean (TH6),N,
v17,1,theorem,2^{-l_i}\) kraft_inequality_doctrine,Lutar/Thesis/TH_V18_03_KraftInequality.lean,N,
v18,thm:lambda-bound,theorem,"For all \(k \geq 0\) and all \(\mathbf{s} \in [0,1]^n\): \[ \min_i s_i \;\leq\; \Lambda_k(\mathbf{s}) \;\leq\; \max_i s_i. \]",Lutar/Bound.lean,Y,
v18,thm:schur,theorem,"The two-axis \(\Lambda\)-score is Schur-concave: for all \(\mathbf{s}, \mathbf{t} \in [0,1]^2\) with \(\mathbf{s}\) majorised by \(\mathbf{t}\), \[ \Lambda_k(\mathbf{s}) \;\geq\; \Lambda_k(\mathbf{t})",Lutar/Lambda/SchurConcave.lean,N,
v18,def:receipt,definition,"A \emph{governance receipt} \(\rho\) is a tuple \(\rho = (\tau, \lambda, \mathbf{a}, \mathbf{w}, \sigma)\) where: \begin{itemize} \item \(\tau\) is a monotone timestamp (Unix epoch, millisecond precis",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,thm:unique-aggregator,theorem,"Under axioms \textup{A1--A4}, the unique aggregator is the \emph{geometric mean}: \begin{equation} \Lambda_k(x) \;=\; \Bigl(\prod_{i=1}^{k} x_i\Bigr)^{1/k}. \end{equation} \textup{Lean module:} \textt",Lutar/Invariant.lean,Y,
v18,thm:lambda-upper,theorem,"For every $k > 0$ and $x \in \mathcal{A}_k$: \begin{equation} \Lambda_k(x) \;\le\; \max_{i \in [k]} x_i. \end{equation} \textup{Lean:} \texttt{Lutar/Bound.lean}, \texttt{Lambda\_le\_max}, line~31. \te",,?,
v18,thm:lambda-lower,theorem,"For every $k > 0$ and $x \in \mathcal{A}_k$: \begin{equation} \min_{i \in [k]} x_i \;\le\; \Lambda_k(x). \end{equation} \textup{Lean:} \texttt{Lutar/Bound.lean}, \texttt{min\_le\_\(\Lambda\)}, line~73",,?,
v18,thm:lambda-monotone,theorem,"The geometric-mean aggregator satisfies $\Lambda$-monotone composition: if composed output scores $z_i \ge \min(x_i, y_i)$ componentwise, then $\Lambda(z) \ge \Lambda(x) \wedge \Lambda(y)$. \textup{Le",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,thm:graph-lambda-le-one,theorem,For any \texttt{GraphExecution} $e$: \begin{equation} \Lambda_{\mathrm{graph}}(e) \;:=\; \Bigl(\prod_{v \in V(e)} \Lambda_9(\mathrm{scores}(v))\Bigr)^{1/|V(e)|} \;\le\; 1. \end{equation} \textup{Lean:,,?,
v18,thm:graph-automorphism,theorem,For any $\Lambda$-preserving graph automorphism $\varphi$: \begin{equation} \Lambda_{\mathrm{graph}}(e) \;=\; \Lambda_{\mathrm{graph}}(\varphi \cdot e). \end{equation} \textup{Lean:} \texttt{Lutar/Gra,,?,
v18,thm:total-order,theorem,"The set $\mathcal{R}^*$ of all Ouroboros receipts, ordered by hash-chain precedence $r \prec r'$, forms a \emph{total order}. \textup{Lean:} \texttt{Lutar/SBOMProvenance.lean} (theorem \texttt{sbom\_l",,?,
v18,thm:wheeler-coherence,theorem,Every receipt $r \in \mathcal{R}^*$ satisfies $\Lambda(r) \ge \tau_{\min}$ (the Doctrine~v6 gate threshold). \textup{Doctrine:} v17 Wheeler closure (DOI~\cite{LutarThesisV17}). \textup{Invariant:} \te,Lutar/Wheeler/DelayedChoiceClosure.lean,N,
v18,thm:fibre-injectivity,theorem,"The functor $\mathcal{F} \colon \mathcal{R}^* \to \mathrm{Hash}$ sending each receipt to its hash is injective on objects (i.e., two distinct receipts with the same output hash collide SHA-256). \text",,?,
v18,thm:two-witness-soundness,theorem,\begin{equation} \mathrm{ExactlyOnePerContext}(f) \;\implies\; \mathrm{inconsistencies}(f) = 0 \;\wedge\; \mathrm{anomalyFlag}(f) = \mathrm{CLASSICAL}. \end{equation} \textup{Lean:} \texttt{Lutar/TwoW,Lutar/TwoWitness.lean (KS-18),N,
v18,thm:no-nchv,theorem,"\begin{equation} \forall\, f \colon \mathrm{Fin}\,18 \to \mathrm{Bool},\; \mathrm{ExactlyOnePerContext}(f) \implies \bot. \end{equation} \textup{Lean:} \texttt{Lutar/TwoWitness.lean}, \texttt{no\_NCHV",,?,
v18,thm:precision-bound,theorem,"For two independent witnesses with empirical risks $\hat{R}_1, \hat{R}_2$ over $m$ i.i.d.\ samples: \begin{equation} \Pr\bigl[|\hat{R}_1 - \hat{R}_2| > \varepsilon\bigr] \;\le\; 2\exp\!\bigl(-2m\varep",,?,
v18,thm:pac-bayes-mono,theorem,"For $\mathrm{KL}_1 \le \mathrm{KL}_2$: \begin{equation} \mathrm{pacBayesBound}(\hat{R}, \mathrm{KL}_1, n, \delta) \;\le\; \mathrm{pacBayesBound}(\hat{R}, \mathrm{KL}_2, n, \delta). \end{equation} \tex",Lutar/PACBayes.lean (TH13),N,
v18,thm:pac-bayes-main,theorem,"With probability at least $1 - \delta$ over $S \sim D^n$: \begin{equation} R(Q) \;\le\; \hat{R}_S(Q) + \mathrm{slack}(Q,P,n,\delta). \end{equation} \textup{Lean:} \texttt{Lutar/PACBayes.lean}, \texttt",Lutar/PACBayes.lean (TH13),N,
v18,thm:dpo-stability,theorem,"Under a DPO update~\cite{Rafailov2023} from $\pi$ to $\pi'$: \begin{equation} |\lambda_i(\pi') - \lambda_i(\pi)| \;\le\; 2 \cdot \mathrm{TV}(\pi', \pi). \end{equation} \textup{Lean:} \texttt{Lutar/DPO","Lutar/DPOFeasibility.lean (TH12, 3 sorry)",N,
v18,thm:zero-kl,theorem,"$\mathrm{KL}(\pi' \Vert \pi) = 0 \implies \Lambda_9(\pi') = \Lambda_9(\pi)$. \textup{Lean:} \texttt{Lutar/DPOFeasibility.lean}, \texttt{pinsker\_coords\_eq\_of\_kl\_zero}. \textup{Status:} kernel-veri","Lutar/DPOFeasibility.lean (TH12, 3 sorry)",N,
v18,thm:graph-pac-bayes,theorem,"Let $e$ be a \texttt{GraphExecution} with $|V|$ vertices. With probability $\ge 1 - \delta$: \begin{equation} R_{\mathrm{graph}}(Q) \;\le\; \hat{R}_{\mathrm{graph}}(Q) + |V| \cdot \mathrm{slack}(Q, P,",Lutar/PACBayes.lean (TH13),N,
v18,thm:cursor-bench-bound,theorem,"For an agentic evaluator executing $T$ tool calls per episode, each $\Lambda$-gated: \begin{equation} R_{\mathrm{episode}}(Q) \;\le\; \hat{R}_{\mathrm{episode}}(Q) + T \cdot \mathrm{slack}(Q, P, n/T, ",,?,
v18,thm:path-integral,theorem,$Z_{\mathrm{audit}}$ is finite and monotone-decreasing: \[ Z_{\mathrm{audit}}^{(t+1)} \;\le\; Z_{\mathrm{audit}}^{(t)} \] whenever every step-$(t+1)$ receipt has $\Lambda > 0$. \textup{Lean:} \texttt{,Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,thm:schur-concave,theorem,For $x \prec y$ in the majorisation order~\cite{HLP1934}: \begin{equation} x \prec y \;\implies\; \Lambda_k(x) \;\le\; \Lambda_k(y). \end{equation} \textup{Lean:} \texttt{Lutar/Lambda/SchurConcave.lea,Lutar/Lambda/SchurConcave.lean,N,
v18,thm:quantum-lambda,theorem,"For density matrix $\rho$ and unitary $U$: \begin{align} \Lambda_{\mathrm{quantum}}(\rho) &\;\le\; 1, \\ \Lambda_{\mathrm{quantum}}(U\rho U^\dagger) &\;=\; \Lambda_{\mathrm{quantum}}(\rho). \end{align",,?,
v18,thm:wos-reuse,theorem,The Walk-on-Spheres estimator~\cite{dEon2023} for $\Lambda$-boundary conditions on domain $\Omega$ satisfies: \begin{enumerate} \item \textbf{Unbiasedness}: $\mathbb{E}[\hat{u}(x_0)] = u(x_0)$ for all,(no Lean — numerical witness only),N,
v18,thm:lambda-mp-inv,theorem,For any permutation $\sigma$ of $\mathcal{N}(v)$: $\Lambda^{(v)}_{\ell+1}(\sigma \cdot x) = \Lambda^{(v)}_{\ell+1}(x)$. \textup{Lean:} follows from Theorem~\ref{thm:graph-automorphism} by restricting ,Lutar/Thesis/TH_V18_09_PermutationInvariance.lean,N,
v18,thm:sparse-attn-bound,theorem,"\begin{equation} |\Lambda(\alpha) - \Lambda(\alpha^{(k)})| \;\le\; 2 \cdot \varepsilon(k, n). \end{equation} \textup{Lean (skeleton):} \texttt{thesis\_v18/lean\_skeletons/CursorBenchPACBayes.lean} (cl",,?,
v18,thm:topk-isomorphism,theorem,"Under permutation-invariant aggregation, the three top-$k$ operators -- $\Lambda$-MP (Def.~\ref{def:lambda-mp}), DSA (Def.~\ref{def:sparse-attn}), and TurboVec (Def.~\ref{def:turbovec}) -- are $\Lambd",Lutar/Thesis/TH_V18_09_PermutationInvariance.lean,N,
v18,thm:coe-soundness,theorem,"If all four CoE checks pass for every claim $c_i$ in chain $\mathcal{C}$, then $\mathcal{C}$ is CoE-sound: all numerical claims are within tolerance (I1); no specification violations (I2); all referen",,?,
v18,thm:coe-chain-integrity,theorem,"A CoE claim chain $\mathcal{C} = (c_1, \ldots, c_m)$ forms a morphism sequence in the receipt category $\mathcal{R}$ (Definition~\ref{def:receipt-category}). Its hash-chain integrity follows from Theo",,?,
v18,thm:coe-axis-map,theorem,"The CoE claim taxonomy maps bijectively onto $\Lambda$-axes: \begin{align*} \mathrm{citation} &\mapsto \lambda_6\,(\text{evidence}),\\ \mathrm{numerical} &\mapsto \lambda_6\,(\text{evidence}) \wedge \",,?,
v18,thm:lean-soundness,theorem,The Lean~4 kernel is sound with respect to the Calculus of Constructions extended with Quotient Types and Propositional Extensionality~\cite{MouraKN2021}. Any theorem passing \texttt{lake build Lutar},,?,
v18,thm:axiom-reduction,theorem,"The reduction from 24 axioms (v14) to 11 (v16) -- a 54\% decrease -- is, to the best of our search at the time of writing (2026-05-28; search scope: Lean~4 / Mathlib4 repository, Lean Together 2025 pr",,?,
v18,thm:zero-sorry-target,theorem,"Merging PR~\#56 (rebased) and PR~\#66 (fifth-pass drift fix) reduces the \texttt{sorry} count from 59 to $\le 10$, with the remaining sorrys confined to the \texttt{Topology/PersistentHomologyChain.le",,?,
v18,cor:interpretability,corollary,For any agent output $x \in \mathcal{A}_9$: \begin{equation} \min_i x_i \;\le\; \Lambda_9(x) \;\le\; \max_i x_i. \end{equation} This is the primary interpretability guarantee of the $\Lambda$-gate.,,?,
v18,cor:hoeffding,corollary,"\begin{equation} \Pr_{S \sim D^n}\!\bigl[\,R(Q) - \hat{R}_S(Q) \ge \varepsilon\,\bigr] \;\le\; e^{-2n\varepsilon^2}. \end{equation} \textup{Lean:} \texttt{Lutar/PACBayes.lean}, \texttt{hoeffding\_mgf\",,?,
v18,cor:psi2,corollary,"At $t = \sqrt{2n}$, the excess satisfies: \begin{equation} \mathbb{E}\!\bigl[e^{\sqrt{2n}\,\cdot\,\mathrm{excess}}\bigr] \;\le\; e^{1/4}, \end{equation} establishing $\|\mathrm{excess}\|_{\psi_2} \le ",,?,
v18,cor:governance-guarantee,corollary,"For any agent output $x \in \mathcal{A}_9$ passing the Ouroboros gate ($\Lambda_9(x) \ge \tau_{\min}$), the following hold simultaneously and are jointly verifiable by \texttt{lake build Lutar}: \begi",,?,
v18,def:lambda-vector,definition,"The \emph{$\Lambda$-axis governance vector} is \begin{equation} \Lambda \;=\; (\lambda_1,\ldots,\lambda_9) \;\in\; [0,1]^9, \end{equation} with axes: (1)~data, (2)~model, (3)~compute, (4)~behavior, (5",,?,
v18,def:lutar-axioms,definition,"An aggregator $\Phi \colon (\mathrm{Fin}\,k \to \mathbb{R}_{\ge 0}) \to \mathbb{R}_{\ge 0}$ satisfies the \emph{Lutar axioms} when: \begin{align} \text{A1 (Monotonicity):}&\quad \forall\,x,y,\; (\fora",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,def:lambda-monotone,definition,"For two agent functions $f, g$, define pointwise meet $(\Lambda_1 \wedge \Lambda_2)_i := \min(\lambda_{1,i}, \lambda_{2,i})$. The system satisfies \emph{$\Lambda$-monotone composition} when \begin{equ",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean,Y,
v18,def:receipt-category,definition,"The \emph{receipt chain category} $\mathcal{R}$ has: \begin{itemize} \item \textbf{Objects}: SHA-256-addressed agent states $S_0, S_1, \ldots$; \item \textbf{Morphisms}: receipts $r = (h_{\mathrm{prev",,?,
v18,def:audit-fibre,definition,"For target hash $h^*$, the \emph{audit fibre} is $\mathcal{F}(h^*) = \{r \in \mathcal{R}^* \mid h_r = h^*\}$. By A15, $|\mathcal{F}(h^*)| \le 1$ except with negligible probability.",Lutar/Thesis/TH_V18_01_LambdaMonotonicity.lean (A1),Y,
v18,def:dual-witness,definition,"Property $P$ has a \emph{dual witness} iff \begin{equation} \mathrm{DualWitness}(P) \;\iff\; \exists\, W_1 \ne W_2 \in \mathcal{W},\; W_1 \vDash P \;\wedge\; W_2 \vDash P, \end{equation} where $\mathc",,?,
v18,def:nchv,definition,The Cabello--Estebaranz--Garc\'ia-Alcaine (CEGA) structure~\cite{Cabello1996} consists of 18 vectors in $\mathbb{R}^4$ forming 9 orthogonal bases (contexts). An NCHV assignment $f \colon \mathrm{Fin}\,,?,
v18,def:pac-bayes-bound,definition,"\begin{equation} \mathrm{slack}(Q,P,n,\delta) \;:=\; \sqrt{\frac{\mathrm{KL}(Q \Vert P) + \ln\!\bigl(\tfrac{2\sqrt{n}}{\delta}\bigr)}{2n}}. \end{equation} \textup{Lean:} \texttt{Lutar/PACBayes.lean}, ",Lutar/PACBayes.lean (TH13),N,
v18,def:gateLID,definition,"The \emph{\(\Lambda\)GateLID} for threshold $\tau$ is $\{\pi \mid \forall i,\, \pi(i) \ge \tau\}$. The DPO Lipschitz constant is $L_\Lambda = 2$ (\texttt{Lutar/DPOFeasibility.lean}, \texttt{def gateLi","Lutar/DPOFeasibility.lean (TH12, 3 sorry)",N,
v18,def:path-integral,definition,"For execution path $\gamma = (S_0 \to S_1 \to \cdots \to S_T)$: \begin{align} \mathcal{S}[\gamma] &\;:=\; \sum_{t=1}^{T} \bigl[-\ln \Lambda(r_t) + \beta \cdot \mathrm{cost}(r_t)\bigr], \\ Z_{\mathrm{a",,?,
v18,def:lambda-mp,definition,"\begin{equation} \Lambda^{(v)}_{\ell+1} \;:=\; \Lambda_k\!\Bigl(\bigl\{\Lambda^{(u)}_\ell : u \in \mathcal{N}(v)\bigr\}\Bigr). \end{equation} \textup{Source:} v18.13 PyG graft, \texttt{LambdaMessagePa",,?,
v18,def:sparse-attn,definition,"Following rasbt/LLMs-from-scratch DSA~\cite{rasbtDSA} (Apache-2.0, SHA~\texttt{63224d6e}): a $k$-sparse attention pattern $\alpha^{(k)}$ satisfies $|\{i : \alpha^{(k)}_i > 0\}| \le k$, $\sum_i \alpha^",,?,
v18,def:turbovec,definition,"Following Zandieh, Daliri et al.~\cite{Zandieh2025} (TurboVec/TurboQuant): \begin{equation} \tilde{\alpha}^{(k)} \;=\; \mathrm{TopK}_{k}\!\bigl(\mathrm{softmax}(Q\tilde{K}^T/\sqrt{d})\bigr), \quad \|\",,?,
v18,def:coe-claim,definition,"Following ScientistOne~\cite{Meng2026} (arXiv:2605.26340): a CoE claim is $\mathrm{claim} = (\mathrm{typ}, \mathrm{content}, \mathrm{evidence}, \Lambda_{\mathrm{claim}})$ with $\mathrm{typ} \in \{\mat",,?,
